INSERT INTO `tiere` (`id`, `name`, `nameEn`, `gehegeId`, `spielgeraetId`, `stalllevel`, `preis`, `preisartId`, `zuchtkosten`, `zuchtdauer`, `startprozent`, `platzbedarf`, `anzahlbasis`, `anzahlmax`, `xpfuettern`, `xpspielen`, `xpputzen`, `popularitaet`, `verkaufswert`, `auswildern`, `release`, `bild`) VALUES
(122,'Östliche Graseule','Eastern Grass Owl',100,103,3,70,2,4200,12,3,80,1,8,56,111,167,700,7000,700,'16.07.2019','oestliche-graseule.jpg'),
(123,'Panzernashorn','Indian Rhinoceros',100,101,3,90,2,3600,13,2,100,1,4,319,213,107,900,9000,900,'30.08.2022','panzernashorn.jpg'),
(124,'Pferd','Horse',100,105,2,2500,1,1100,3,11,64,2,6,7,20,14,50,500,50,'16.04.2018','pferd.jpg'),
(125,'Poitou-Esel','Poitou Donkey',100,104,1,60,2,3600,11,3,65,2,6,159,319,477,600,6000,600,'09.12.2021','poitou-esel.jpg'),
(126,'Riesenkaninchen','Giant Rabbit',100,105,3,45,2,4500,9,5,25,5,12,42,83,124,450,4500,450,'20.03.2024','riesenkaninchen.jpg'),
(127,'Rohrkatze','Jungle Cat',100,102,3,84,2,5040,13,3,60,2,8,406,203,609,840,840,840,'01.06.2022','rohrkatze.jpg'),
(128,'Schaf','Sheep',100,105,0,1500,1,2100,5,7,55,2,8,20,10,30,150,1500,150,'16.04.2018','schaf.jpg'),
(129,'Schnappschildkröte','Alligator Snapping Turtle',100,102,3,105,2,4200,14,2,55,2,6,96,138,46,1050,10500,1050,'30.04.2019','schnappschildkroete.jpg'),
(130,'Schottisches Hochlandrind','Highland Cattle',100,101,1,95,2,5700,13,3,70,2,8,224,336,112,950,9500,950,'02.07.2024','schottisches-hochlandrind.jpg'),
(131,'Schuhschnabel','Shoebill',100,102,2,66,2,3960,11,3,60,2,8,415,277,139,660,6600,660,'29.09.2020','schuhschnabel.jpg'),
(132,'Schwan','Swan',100,102,2,95,2,5700,13,3,60,2,6,45,132,88,950,9500,950,'15.02.2019','schwan.jpg'),
(133,'Shetlandpony','Shetland Pony',100,105,3,59,2,4720,11,4,70,2,10,61,183,122,590,5900,590,'21.06.2023','shetlandpony.jpg'),
(134,'Stachelibis','Straw-Necked Ibis',100,102,3,100,2,4800,12,3,45,3,8,69,137,206,800,10000,1000,'24.04.2024','stachelibis.jpg'),
(135,'Suedafrika-Kronenkranich','Gray-Crowned Crane',100,102,3,72,2,5760,12,4,40,3,10,156,235,79,720,7200,720,'22.06.2023','suedafrika-kronenkranich.jpg'),
(136,'Tapir','Tapir',100,101,3,115,2,6900,15,3,60,2,8,47,139,93,1150,11500,1150,'16.04.2018','tapir.jpg'),
(137,'Waldrapp','Northern Bald Ibis',100,105,1,335000,1,5760,12,4,50,2,10,200,300,101,720,67000,6700,'21.12.2022','waldrapp.jpg'),
(138,'Waschbär','Raccoon',100,103,1,38,2,3040,8,4,42,3,7,24,47,70,380,3800,380,'29.05.2018','waschbaer.jpg'),
(139,'Weißstorch','White Stork',100,105,1,60,2,3600,11,3,60,2,6,37,117,74,600,6000,600,'29.10.2019','weissstorch.jpg'),
(140,'Wasserkudu','Sitatunga',100,102,3,65,2,null,null,4,60,2,6,null,null,null,650,6500,650,'30.07.2024','wasserkudu.jpg');

-- ----------------------------------------------------------------------------------------------------------------------
--
-- Daten für Tabelle `tiere` für Steppe
--
INSERT INTO `tiere` (`id`, `name`, `nameEn`, `gehegeId`, `spielgeraetId`, `stalllevel`, `preis`, `preisartId`, `zuchtkosten`, `zuchtdauer`, `startprozent`, `platzbedarf`, `anzahlbasis`, `anzahlmax`, `xpfuettern`, `xpspielen`, `xpputzen`, `popularitaet`, `verkaufswert`, `auswildern`, `release`, `bild`) VALUES
(201,'Adlerbussard','Long-Legged Buzzard',200,201,3,70,2,5600,12,4,35,4,10,182,273,91,700,7000,700,'16.01.2024','adlerbussard.jpg'),
(202,'Amerikanischer Bison','American Bison',200,202,3,55000,1,4400,14,2,90,1,5,68,202,135,1100,11000,1100,'16.04.2018','amerikanischer-bison.jpg'),
(203,'Andenfuchs','Culpeo',200,202,3,80,2,6400,12,4,50,2,10,null,null,null,800,8000,800,'19.06.2023','andenfuchs.jpg'),
(204,'Angoraziege','Angora Goat',200,202,3,90,2,7200,13,4,42,3,12,187,281,94,900,9000,900,'17.06.2024','angoraziege.jpg'),
(205,'Bongo Antilope','Bongo Antelope',200,202,2,105,2,5460,6,2,50,2,6,98,147,49,1050,10500,1050,'09.07.2019','bongo-antilope.jpg'),
(206,'Capybara','Capybara',200,202,3,47,2,3720,9,4,55,2,7,27,81,54,465,4650,465,'05.02.2019','capybara.jpg'),
(207,'Dikdik','Dikdik',200,202,3,75,2,6000,12,4,45,3,10,186,62,124,750,7500,750,'12.02.2020','dikdik.jpg'),
(208,'Emu','Emu',200,201,3,77,2,4620,12,3,64,2,8,369,246,123,770,7700,770,'31.10.2021','emu.jpg'),
(209,'Erdwolf','Aardwolf',200,202,2,96,2,5760,13,3,70,2,8,153,305,457,960,9600,960,'23.01.2020','erdwolf.jpg'),
(210,'Ferkelskunk','American Hog-Nosed Skunk',200,202,1,85,2,5100,13,3,50,2,8,717,239,478,850,8500,850,'26.10.2021','ferkelskunk.jpg'),
(211,'Flamingo','Flamingo',200,202,2,35,2,3500,8,5,60,2,10,46,31,16,350,3500,350,'16.04.2018','flamingo.jpg'),
(212,'Gabelbock','Pronghorn',200,201,2,110,2,4400,14,2,66,2,6,102,203,203,1100,11000,1100,'04.03.2021','gabelbock.jpg'),
(213,'Gepard','Cheetah',200,201,3,120,2,4800,13,2,100,1,6,190,379,569,1200,12000,1200,'27.10.2020','gepard.jpg'),
(214,'Goldfasan','Golden Pheasant',200,201,2,45,2,3600,9,4,55,2,7,77,52,26,450,4500,450,'16.04.2019','goldfasan.jpg'),
(215,'Grevyzebra','Grévys Zebra',200,201,2,105,2,6300,14,3,70,2,7,200,101,300,1050,10500,1050,'14.03.2023','grevyzebra.jpg'),
(216,'Gürteltier','Armadillo',200,202,3,25000,1,3300,10,3,55,2,6,72,108,36,500,5000,500,'16.04.2018','guerteltier.jpg'),
(217,'Halsbandpekari','Collared Peccary',200,202,2,270000,1,6000,12,4,60,2,10,116,231,231,750,54000,5400,'19.05.2020','halsbandpekari.jpg'),
(218,'Hirschziegenantilope','Blackbuck',200,202,0,85,2,6800,13,4,80,1,12,121,242,362,850,8500,850,'15.03.2022','hirschziegenantilope.jpg'),
(219,'Karakal','Caracal',200,201,3,85,2,5100,13,3,60,2,6,230,77,153,850,8500,850,'10.11.2020','karakal.jpg'),
(220,'Katzenfrett','Ringtail',200,202,3,96,2,3900,14,2,40,3,6,213,142,71,975,9750,975,'23.04.2019','katzenfrett.jpg'),
(221,'Lama','Llama',200,202,2,78,2,5040,13,3,50,2,8,88,262,175,780,7800,780,'01.09.2020','lama.jpg'),
(222,'Massai-Giraffe','Masai Giraffe',200,201,3,100,2,6000,14,3,100,1,8,450,150,300,1000,10000,1000,'18.07.2023','massai-giraffe.jpg'),
(223,'Oryxantilope','Oryx',200,201,2,95,2,5700,13,3,66,2,6,242,363,121,950,9500,950,'12.05.2020','oryxantilope.jpg'),
(224,'Pfau','Peafowl',200,201,0,4000,1,1440,4,9,55,2,6,24,36,12,80,800,80,'16.04.2018','pfau.jpg'),
(225,'Quokka','Quokka',200,202,1,90,2,5400,13,3,45,3,8,101,51,151,900,9000,900,'02.07.2019','quokka.jpg'),
(226,'Rentier','Reindeer',200,202,1,105,2,4200,14,2,50,2,6,142,48,95,1050,10500,1050,'06.12.2018','rentier.jpg'),
(227,'Riesenschildkröte','Giant Tortoise',200,201,1,6000,1,1680,5,7,55,2,6,10,28,19,120,1200,120,'16.04.2018','riesenschildkroete.jpg'),
(228,'Rosada-Drusenkopf','Galápagos Pink Land Iguana',200,202,3,77,2,4620,12,3,60,2,8,213,319,107,770,7700,770,'29.08.2023','rosada-drusenkopf.jpg'),
(229,'Rotes Riesenkänguru','Red Kangaroo',200,201,1,9000,1,2520,6,7,60,2,8,33,11,22,180,1800,180,'16.04.2018','rotes-riesenkaenguru.jpg'),
(230,'Saigaantilope','Saiga Antelope',200,202,2,88,2,5280,13,3,75,1,8,130,195,65,880,8800,880,'22.03.2022','saigaantilope.jpg'),
(231,'Schwarzfußkatze','Black-Footed Cat',200,202,3,65,2,5200,11,4,35,4,12,78,233,155,650,6500,650,'06.06.2023','schwarzfußkatze.jpg'),
(232,'Sekretär','Secretarybird',200,201,2,55000,1,4400,14,2,65,2,6,95,285,190,1100,11000,1100,'16.04.2018','sekretaer.jpg'),
(233,'Serval','Serval',200,201,3,90,2,5400,13,3,80,1,6,89,178,266,900,9000,900,'04.05.2021','serval.jpg'),
(234,'Silberdachs','American Badger',200,202,3,77,2,4620,12,3,60,2,8,null,null,null,770,7700,770,'16.02.2021','silberdachs.jpg'),
(235,'Silberner Riesengalago','Silvery Greater Galago',200,201,3,90,2,5400,13,3,50,2,8,759,253,507,900,9000,900,'21.12.2021','silberner-riesengalago.jpg'),
(236,'Steppenschuppentier','Ground Pangolin',200,202,3,84,2,5040,13,3,60,2,6,97,291,194,840,8400,840,'27.09.2022','steppenschuppentier.jpg'),
(237,'Steppenzebra','Plains Zebra',200,202,2,30,2,2400,8,4,64,2,6,64,43,22,300,3000,300,'16.04.2018','steppenzebra.jpg'),
(238,'Streifenschakal','Side-Striped Jackal',200,202,3,75,2,6000,12,4,70,2,10,291,97,194,750,7500,750,'21.10.2022','streifenschakal.jpg'),
(239,'Tigeriltis','Marbled Polecat',200,202,3,85,2,5100,13,3,37,3,6,319,159,477,850,8500,850,'06.05.2020','tigeriltis.jpg'),
(240,'Zwergflamingo','Lesser Flamingo',200,202,2,65,2,6500,11,5,40,3,14,36,71,106,650,6500,650,'07.02.2023','zwergflamingo.jpg'),
(241,'Drusenkopf','Galapagos Land Iguana',200,201,2,85,2,5100,13,3,50,2,8,260,173,87,850,8500,850,'22.10.2024','drusenkopf.jpg');

-- ----------------------------------------------------------------------------------------------------------------------
--
-- Daten für Tabelle `tiere` für Wald
--
INSERT INTO `tiere` (`id`, `name`, `nameEn`, `gehegeId`, `spielgeraetId`, `stalllevel`, `preis`, `preisartId`, `zuchtkosten`, `zuchtdauer`, `startprozent`, `platzbedarf`, `anzahlbasis`, `anzahlmax`, `xpfuettern`, `xpspielen`, `xpputzen`, `popularitaet`, `verkaufswert`, `auswildern`, `release`, `bild`) VALUES
(301,'Afrikanische Goldkatze','African Golden Cat',300,303,3,98,2,3920,14,2,80,1,6,462,154,308,980,9800,980,'31.08.2021','afrikanische-goldkatze.jpg'),
(303,'Blauer Leguan','Blue Iguana',300,302,1,88,2,6800,13,4,50,2,12,336,112,224,850,8500,850,'09.04.2024','blauer-leguan.jpg'),
(323,'Kusu','Brushtail Possum',300,303,3,80,2,4800,12,3,60,2,8,93,185,278,800,8000,800,'14.04.2020','kusu.jpg'),
(339,'Waldhund','Bush Dog',300,302,3,100,2,4000,14,2,62,2,6,190,285,95,1000,10000,1000,'22.12.2020','waldhund.jpg'),
(338,'Urson','Canadian Porcupine',300,303,1,82,2,4920,12,3,45,3,8,275,550,824,820,8200,820,'12.04.2022','urson.jpg'),
(332,'Schimpanse','Chimpanzee',300,301,0,20,2,2400,6,6,64,2,8,16,8,24,200,2000,200,'16.04.2018','schimpanse.jpg'),
(315,'Ginsterkatze','Common Genet',300,302,2,85,2,5100,13,3,35,4,8,369,246,123,850,8500,850,'14.01.2023','ginsterkatze.jpg'),
(310,'Europäischer Dachs','European Badger',300,302,2,52500,1,4200,14,2,50,2,6,134,170,201,1050,13000,1300,'16.04.2018','europaeischer-dachs.jpg'),
(309,'Europäische Wildkatze','European Wildcat',300,302,2,60,2,4800,11,4,40,3,8,78,155,233,600,6000,600,'01.10.2023','europaeische-wildkatze.jpg'),
(312,'Fischkatze','Fishing Cat',300,301,3,85,2,5100,13,3,80,1,8,375,126,250,850,8500,850,'16.04.2018','fischkatze.jpg'),
(302,'Australische Gespenstfledermaus','Ghost Bat',300,302,3,74,2,5920,12,4,20,7,12,405,270,135,740,7400,740,'11.04.2023','australische-gespensterfledermaus.jpg'),
(316,'Goodfellow-Baumkänguru','Goodfellow Tree Kangaroo',300,301,1,62,2,5520,11,3,60,2,6,104,35,69,620,6200,620,'25.06.2019','goodfellow-baumkaenguru.jpg'),
(317,'Großer Paradiesvogel','Greater Bird-of-Paradise',300,301,2,105,2,4200,14,2,85,1,6,629,314,943,1050,10500,1050,'17.08.2021','großer-paradiesvogel.jpg'),
(328,'Roter Brüllaffe','Howler Monkey',300,301,3,80,2,4800,12,3,70,2,8,537,180,358,800,8000,800,'13.10.2020','roter-bruellaffe.jpg'),
(306,'Brillenschlange','Indian Cobra',300,301,3,72,2,4320,12,3,45,3,6,99,298,199,720,7200,720,'05.06.2023','brillenschlange.jpg'),
(320,'Indische Sternschildkröte','Indian Star Tortoise',300,302,3,81,2,4860,12,3,45,3,8,250,126,375,810,8100,810,'17.01.2023','indische-sternschildkroete.jpg'),
(321,'Kiwi','Kiwi',300,302,2,65,2,5200,11,4,45,3,12,36,72,108,650,6500,650,'23.03.2021','kiwi.jpg'),
(318,'Helmhornvogel','Knobbed Hornbill',300,303,2,96,2,5340,13,3,65,2,8,null,null,null,890,8900,890,'22.03.2022','helmhornvogel.jpg'),
(322,'Koala','Koala',300,302,1,10000,1,2400,6,6,55,2,8,26,39,13,200,2000,200,'16.04.2018','koala.jpg'),
(307,'Diamantfasan','Lady Amhersts Pheasant',300,303,2,120,2,7200,15,3,35,4,10,113,225,337,1200,12000,1200,'04.06.2024','diamantfasan.jpg'),
(324,'Mondbär','Moon Bear',300,303,3,125,2,5000,15,2,85,1,5,70,139,209,1250,12500,1250,'16.04.2018','mondbaer.jpg'),
(308,'Elch','Moose',300,303,2,20000,1,3200,9,4,90,1,5,108,36,72,400,4000,400,'16.042.018','elch.jpg'),
(326,'Okapi','Okapi',300,302,1,83,2,4950,12,3,64,2,6,153,102,51,825,8300,830,'30.04.2019','okapi.jpg'),
(313,'Fleckenroller','Owstons Palm Civet',300,302,2,74,2,4920,12,3,40,3,6,40,118,79,740,7400,740,'07.05.2019','fleckenroller.jpg'),
(331,'Rotfuchs','Red Fox',300,303,2,15000,1,2400,8,4,42,3,6,24,48,72,300,3000,300,'16.04.2018','rotfuchs.jpg'),
(329,'Roter Panda','Red Panda',300,301,3,70,2,2800,12,2,42,3,4,169,113,57,700,7000,700,'16.04.2018','roter-panda.jpg'),
(327,'Pinselohrschwein','Red River Hog',300,303,2,65000,1,5200,11,4,65,2,10,128,85,43,650,6500,650,'15.04.2021','pinselohrschwein.jpg'),
(330,'Roter Vari','Red-Ruffed Lemur',300,302,2,125,2,5000,15,2,42,3,6,120,60,179,1250,12500,1250,'18.12.2018','roter-vari.jpg'),
(311,'Europäisches Reh','Roe Deer',300,302,2,72,2,5760,12,4,50,2,10,69,35,103,720,7200,720,'07.12.2022','europaeisches-reh.jpg'),
(305,'Brillenbär','Spectacled Bear',300,303,3,100,2,6000,14,3,80,1,10,null,null,null,1000,10000,1000,'10.10.2023','brillenbaer.jpg'),
(336,'Totenkopfäffchen','Squirrel Monkey',300,301,2,82,2,4920,12,3,45,3,8,100,299,199,820,8200,820,'27.10.2020','totenkopfaeffchen.jpg'),
(314,'Gelbhauben Kakadu','Sulphur-Crested Cockatoo',300,301,3,95,2,5700,13,3,55,2,7,118,79,40,950,9500,950,'28.08.2018','gelbhauben-kakadu.jpg'),
(333,'Sumatra-Naßhorn','Sumatran Rhinoceros',300,302,3,110,2,6600,14,3,60,2,8,393,131,261,1100,11000,1100,'13.02.2024','sumatra-naßhorn.jpg'),
(334,'Tanuki','Tanuki',300,303,1,82,2,4440,12,3,77,1,8,75,149,223,820,8200,820,'30.03.2021','tanuki.jpg'),
(335,'Tasmanischer Teufel','Tasmanian Devil',300,302,2,80,2,4800,12,3,50,2,6,300,901,601,800,8000,800,'21.12.2021','tasmanischer-teufel.jpg'),
(337,'Tundrawolf','Tundra Wolf',300,302,3,70,2,4200,12,3,64,2,6,43,85,127,700,7000,700,'14.06.2018','tundrawolf.jpg'),
(325,'Nordopossum','Virginia Opossum',300,303,1,79,2,6320,12,4,45,3,10,166,332,497,790,7900,790,'18.01.2022','nordopossum.jpg'),
(304,'Blauschopf Krontaube','Western Crowned Pigeon',300,303,1,36000,1,4320,12,3,85,1,7,138,69,207,720,9000,900,'28.05.2019','blauschopf-krontaube.jpg'),
(319,'Hübschgesichtwallaby','Whiptail Wallaby',300,302,1,92,2,5520,13,3,60,2,8,304,203,102,920,9200,920,'03.08.2021','huebschgesichtwallaby.jpg'),
(340,'Wildschwein','Wild Boar',300,302,1,25,2,3000,6,6,60,2,8,12,24,36,250,2500,250,'16.04.2018','wildschwein.jpg'),
(341,'Zebraducker','Zebra Duiker',300,303,3,90,2,7200,13,4,50,2,12,88,174,261,900,9000,900,'19.06.2023','zebraducker.jpg'),
(342,'Amerikanischer Schwarzbär','American Black Bear',300,303,3,75,2,4500,12,3,85,1,6,127,254,381,750,7500,750,'17.10.2024','amerikanischer-schwarzbaer.jpg'),
(343,'Schwarzstorch','Black Stork',300,303,2,70,2,4200,12,3,55,2,6,168,252,84,700,7000,700,'24.09.2024','schwarzstorch.jpg');

-- ----------------------------------------------------------------------------------------------------------------------
--
-- Daten für Tabelle `tiere` für Berg
--
INSERT INTO `tiere` (`id`, `name`, `nameEn`, `gehegeId`, `spielgeraetId`, `stalllevel`, `preis`, `preisartId`, `zuchtkosten`, `zuchtdauer`, `startprozent`, `platzbedarf`, `anzahlbasis`, `anzahlmax`, `xpfuettern`, `xpspielen`, `xpputzen`, `popularitaet`, `verkaufswert`, `auswildern`, `release`, `bild`) VALUES
(401,'Afrikanischer Esel','African wild ass',400,401,3,62500,1,5000,15,2,64,2,7,109,163,54,1250,12500,1250,'16.04.2018','afrikanischer-esel.jpg'),
(402,'Alpaka','Alpaca',400,402,2,40000,1,4000,12,3,42,3,8,103,69,35,800,8000,800,'16.04.2018','alpaka.jpg'),
(403,'Alpenmurmeltier','Alpen Marmot',400,402,2,100,2,4800,12,3,40,3,8,631,947,316,800,8000,800,'22.11.2022','alpenmurmeltier.jpg'),
(404,'Alpensteinbock','Alpine Ibex',400,402,1,55,2,4400,10,4,50,2,7,85,29,57,550,5500,550,'25.09.2018','alpensteinbock.jpg'),
(405,'Andenkondor','Anden Condor',400,402,3,100,2,4000,4,2,60,2,5,757,380,1136,1000,10000,1000,'22.11.2022','andenkondor.jpg'),
(406,'Argali','Argali',400,402,3,550000,2,5100,13,3,70,2,8,366,183,550,850,110000,11000,'13.06.2024','argali.jpg'),
(407,'Äthiopischer Wolf','Ethiopian Wolfe',400,402,1,68,2,4080,11,3,50,2,8,254,381,127,680,6800,680,'14.03.2023','aethiopischer-wolf.jpg'),
(408,'Bartgeier','Bearded Vulture',400,401,2,91,2,5460,13,3,75,1,6,170,338,507,910,9100,910,'01.09.2020','bartgeier.jpg'),
(409,'Baumstachler','Mexican Tree Porcupine',400,402,3,100,2,4000,14,2,55,2,6,289,433,145,1000,10000,1000,'06.07.2021','baumstachler.jpg'),
(410,'Bergnyala','Mountain Nyala',400,402,2,63,2,3780,11,3,50,2,6,95,190,285,630,6300,630,'08.05.2024','bergnyala.jpg'),
(411,'Falklandkaraka','Striated Caracara',400,402,3,100,2,5460,13,2,40,3,6,400,600,200,1000,10000,1000,'19.06.2023','falklandkaraka.jpg'),
(412,'Fleckenskunk','Spotted Skunk',400,401,3,90,2,5400,13,3,45,3,9,190,284,95,900,9000,900,'12.03.2020','fleckenskunk.jpg'),
(413,'Gewöhnliches Stachelschwein','Crested Porcupine',400,402,3,85,2,7200,13,3,55,2,8,288,192,97,850,8500,850,'17.03.2020','gewoehnliches-stachelschwein.jpg'),
(414,'Goldstumpfnase','Golden Snub-Nosed Monkey',400,401,3,75,2,6000,12,4,45,3,10,602,201,201,750,7500,750,'28.09.2021','goldstumpfnase.jpg'),
(415,'Goldtakin','Golden Takin',400,401,3,83,2,3300,15,2,85,1,5,147,49,98,825,8250,825,'04.02.2020','goldtakin.jpg'),
(416,'Hermelin','Stoat',400,402,3,105,2,6300,14,3,37,3,8,44,87,131,1050,10500,1050,'03.09.2019','hermelin.jpg'),
(417,'Katta','Ring-Tailed Lemur',400,401,2,75,2,6000,12,4,45,3,10,124,42,83,750,7500,750,'03.09.2019','katta.jpg'),
(418,'Kodiakbär','Kodiak Bear',400,401,0,12000,1,2400,7,5,90,1,6,27,55,82,240,2400,240,'16.04.2018','kodiakbaer.jpg'),
(419,'Leopard','Leopard',400,402,2,85,2,5100,13,3,90,1,6,107,212,317,850,8500,850,'12.06.2018','leopard.jpg'),
(420,'Luchs','Lynx',400,402,1,22500,1,2700,9,3,64,2,4,99,50,148,450,4500,450,'16.04.2018','luchs.jpg'),
(421,'Manul','Manul',400,402,3,75,2,4500,12,3,60,2,8,192,384,575,750,7500,750,'22.12.2020','manul.jpg'),
(422,'Nacktnasenwombat','Common Womba',400,401,2,80,2,4800,12,3,45,3,8,77,152,228,800,8000,800,'21.01.2020','nacktnasenwombat.jpg'),
(423,'Ozelot','Ocelot',400,401,1,68,2,4050,11,3,90,1,8,65,130,195,675,6800,680,'28.06.2019','ozelot.jpg'),
(424,'Pavian','Baboon',400,401,3,45000,1,5400,13,3,64,2,8,74,37,111,900,9000,900,'16.04.2018','pavian.jpg'),
(425,'Puma','Cougar',400,401,3,110,2,4400,14,2,80,1,6,211,317,106,1100,11000,1100,'16.05.2021','puma.jpg'),
(426,'Riesenturako','Great Blue Turaco',400,402,1,84,2,5040,13,3,80,1,8,325,109,217,840,8400,840,'11.05.2022','riesenturako.jpg'),
(427,'Rothund','Dhole',400,401,1,95,2,5700,13,3,64,2,6,238,356,119,950,9500,950,'11.05.2021','rothund.jpg'),
(428,'Walliser Schwarznasenschaf','Valais Blacknose',400,402,1,72,2,4000,14,4,50,2,10,450,150,301,720,7200,720,'06.04.2022','walliser-schwarznasenschaf.jpg'),
(429,'Wapiti','Wapiti',400,402,2,98,2,3920,14,2,80,1,6,117,233,350,980,9800,980,'19.01.2021','wapiti.jpg'),
(430,'Weißkopfseeadler','Bald Eagle',400,401,1,18000,1,2160,8,3,90,1,4,41,122,81,360,3600,360,'16.04.2018','weisskopfseeadler.jpg'),
(431,'Wolf','Wolf',400,402,2,30000,1,4800,11,4,64,2,8,30,59,88,600,6000,600,'16.04.2018','wolf.jpg');

-- ----------------------------------------------------------------------------------------------------------------------
--
-- Daten für Tabelle `tiere` für Savanne
--
INSERT INTO `tiere` (`id`, `name`, `nameEn`, `gehegeId`, `spielgeraetId`, `stalllevel`, `preis`, `preisartId`, `zuchtkosten`, `zuchtdauer`, `startprozent`, `platzbedarf`, `anzahlbasis`, `anzahlmax`, `xpfuettern`, `xpspielen`, `xpputzen`, `popularitaet`, `verkaufswert`, `auswildern`, `release`, `bild`) VALUES
(501,'Afrikanische Zibetkatze','African Civet',500,504,3,80,2,4800,12,3,45,3,6,438,146,292,800,8000,800,'12.05.2020','afrikanische-zibetkatze.jpg'),
(502,'Afrikanischer Elefant','African Elephant',500,503,3,120,2,4800,15,2,100,1,6,55,109,163,1200,12000,1200,'16.04.2018','afrikanischer-elefant.jpg'),
(503,'Afrikanischer Strauß','Common Ostrich',500,501,1,50,2,4000,10,4,64,2,8,47,71,24,500,5000,500,'16.04.2018','afrikanischer-strauß.jpg'),
(504,'Afrikanischer Weissrückengeier','White-Backed Vulture',500,502,2,50,2,3000,10,3,50,2,6,81,54,27,500,5000,500,'05.06.2024','afrikanischer-weissrueckengeier.jpg'),
(505,'Afrikanischer Wildhund','African Wild Dog',500,501,2,120,2,4800,15,2,64,2,8,168,112,56,1200,12000,1200,'05.03.2019','afrikanischer-wildhund.jpg'),
(506,'Breitmaulnashorn','White Rhinoceros',500,502,3,90,2,3600,13,2,100,1,4,132,198,67,900,9000,900,'16.04.2018','breitmaulnashorn.jpg'),
(507,'Chaco-Pekari','Chacoan Peccary',500,503,3,63,2,5040,11,4,40,3,10,132,198,66,630,6300,630,'06.09.2023','chaco-pekari.jpg'),
